歸字謠	蒼梧謠 十六字令
梧桐影	明月斜
囉嗊曲	望夫歌
南歌子	春宵曲 水晶簾 碧窗夢 十愛詞 南柯子 望秦川 風蝶令
三台	開元樂 翠華引
漁歌子	漁父 漁父樂
憶江南	謝秋娘 江南好 春去也 望江南 夢江南 夢江口 望江梅 安陽好 夢仙遊 步虛聲 壺山好 望蓬萊 歸塞北
搗練子	搗練子令 深院月
春曉曲	西樓月
壽陽曲	落梅風
天淨沙	塞上秋
甘州曲	甘州子
喜春來	陽春曲
秋風清	秋風引 江南路 新安路
拋球樂	莫思歸
憶王孫	獨腳令 憶君王 豆葉黃 畫娥眉 欄杆萬里心 怨王孫
金字經	閱金經
古調笑	宮中調笑 轉應曲 三台令
如夢令	憶仙姿 宴桃源 不見 比梅 古記 無夢令 如意令
訴衷情	桃花水
天仙子	萬斯年
歸自謠	風光子 思佳客
江城子	江神子 村意遠
長相思	吳山青 山漸青 青山相送迎 長相思令 相思令
相見歡	秋夜月 上西樓 西樓子 憶真妃 月上瓜州 烏夜啼
河滿子	何滿子
望梅花	望梅花令
醉太平	淩波曲 醉思凡 四字令
長命女	薄命女
春光好	愁倚闌令 愁倚闌 倚闌令
生查子	楚雲深 梅和柳 晴色入青山
添聲楊柳枝	賀聖朝影 太平時
醉公子	四換頭
昭君怨	洛妃怨 宴西園
玉蝴蝶	玉蝴蝶慢
女冠子	女冠子慢
中興樂	濕羅衣
點絳唇	點櫻桃 十八香 南浦月 沙頭雨 尋瑤草
平湖樂	小桃紅 採蓮詞
歸國遙	歸平遙
贊浦子	贊普子
浣溪沙	小庭花 減字浣溪沙 滿院春 東風寒 醉木犀 霜菊花 廣寒枝 試香羅 清和風 怨啼鵑
沙塞子	沙磧子
殿前歡	鳳將雅
霜天曉角	月當窗 踏月 長橋月
清商怨	關河令 傷情怨
菩薩蠻	重疊金 子夜歌 菩薩鬘 花間意 梅花句 花溪碧 晚雲烘日
採桑子	醜奴兒令 羅敷媚歌 醜奴兒 羅敷媚
後庭花	玉樹後庭花
訴衷情令	漁父家風 一絲風
